lake_id,latitude,longitude,baseline_susceptibility_score,baseline_susceptibility_level,missing_static_fields,interpretation,safety_notice
PKGL-00019,34.95656774,74.13008771,74.78,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00020,34.94793356,74.13842658,81.72,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00021,34.94333046,74.14108063,65.25,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00022,34.9262382,74.1555706,83.2,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00023,35.0178167,74.09028527,70.77,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00024,35.04198724,74.09652296,64.59,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00025,35.07012639,74.11421817,70.92,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00026,35.07308481,74.10483304,64.69,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00027,35.08034104,74.12869151,68.19,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00028,35.09140121,74.14808283,70.11,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00029,35.10436818,74.12440705,64.12,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00030,35.12115546,74.14455504,63.89,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00031,35.10494894,74.21879852,72.96,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00032,35.10289113,74.21838499,56.36,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00033,35.10045216,74.21697416,66.31,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00034,35.10080893,74.21504603,53.04,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00035,35.09662396,74.19078405,55.21,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00036,35.08756943,74.19835689,69.56,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00037,35.07046505,74.22515598,69.5,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00038,35.062034,74.22254699,66.25,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00039,35.03726559,74.18089311,63.54,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00040,35.03883492,74.19138381,43.54,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00041,35.04657285,74.14694608,64.82,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00042,35.05089764,74.15042157,68.84,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00043,35.04954782,74.14603749,46.03,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00044,34.85935138,74.28289021,68.5,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00045,34.86384275,74.28176518,73.2,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00046,34.86481901,74.27045377,81.42,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00047,34.86807655,74.26972956,74.37,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00048,34.87107546,74.27258279,72.94,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00049,34.87339806,74.27250738,75.61,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00050,34.8773095,74.28104922,72.01,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00051,34.87807078,74.28734101,74.05,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00052,34.87775436,74.28819035,41.79,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00053,34.88089191,74.29165842,63.88,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00054,34.88257619,74.29315392,69.1,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00055,34.86961775,74.25739938,66.45,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00056,34.8738647,74.2501474,84.41,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00057,34.87954239,74.24740011,80.32,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00058,34.88968736,74.28595576,80.61,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00059,34.95925824,74.30421112,66.54,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00060,34.96456666,74.32756059,54.15,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00061,35.00268236,74.29220132,61.14,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00062,35.03218249,74.27956099,47.01,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00063,35.03424086,74.27051762,56.39,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00064,35.04384006,74.26216638,53.4,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00065,35.05153027,74.278914,43.66,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00066,35.0532169,74.27883909,57.64,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00067,35.05912433,74.29684743,57.68,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00068,35.06208345,74.26928218,43.01,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00069,35.09670217,74.26995854,47.8,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00070,35.12268651,74.28735471,73.72,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00071,35.1972932,74.3763953,93.82,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00072,35.0128905,74.37392754,54.42,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00073,34.96838023,74.37697665,61.81,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00074,34.89789041,74.34220828,71.7,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00075,34.90302733,74.36179248,74.93,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00076,34.86712201,74.30747407,70.18,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00077,34.86295733,74.27980466,64.89,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00078,34.86987802,74.26098517,52.16,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00079,34.87704871,74.44343641,76.18,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00080,34.88010748,74.44832788,72.7,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00081,34.8742305,74.46815361,54.69,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00082,34.87335603,74.46835404,62.16,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00083,34.91927913,74.5216406,84.88,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00084,34.91412366,74.52854645,68.77,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00085,34.91449218,74.54360491,81.66,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00086,34.84895856,74.52268361,84.23,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00087,34.88268408,74.50773085,67.81,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00088,34.92999291,74.57868324,78.82,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00089,34.87835345,74.58610155,61.64,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00090,34.87732973,74.58712869,44.0,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00091,34.88048022,74.58627554,63.87,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00092,34.87199342,74.60211252,65.07,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00093,34.87000376,74.65902658,59.6,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00094,34.83949363,74.67585275,76.11,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00095,34.85904898,74.69584546,72.96,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00096,34.90818862,74.6801604,67.87,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00097,34.89459665,74.6612636,74.4,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00098,34.89914626,74.66334375,75.72,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00099,34.89794925,74.66109142,69.69,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00100,34.9089458,74.65523659,66.56,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00101,34.9112918,74.65700038,53.09,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00102,34.91750142,74.67170067,58.94,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00103,34.91427735,74.63777549,69.65,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00104,34.908184,74.64149452,63.8,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00105,34.84968327,74.66943133,72.01,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00106,34.88768104,74.61985869,57.07,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00107,34.93927691,74.70387386,68.61,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00108,34.94427016,74.69752986,52.38,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00109,34.94410298,74.70105045,56.16,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00110,34.94588415,74.70481959,75.79,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00111,34.92979535,74.69266512,57.08,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00112,34.93388233,74.7013803,48.02,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00113,34.93488782,74.70231031,40.16,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00114,34.94624562,74.67969938,60.04,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00115,34.94555156,74.67902526,51.03,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00116,34.95850199,74.63292619,58.31,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00117,34.9763622,74.62434194,65.62,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00118,34.97618927,74.62221615,53.59,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00119,34.9750584,74.62260571,52.64,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00120,34.97401623,74.62626473,63.6,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00121,34.98624845,74.57913492,73.02,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00122,34.98634912,74.56810286,74.24,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00123,34.98920829,74.72677336,79.17,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00124,34.96681237,74.71408814,67.37,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00125,34.96831927,74.71904414,55.04,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00126,34.96664379,74.71860977,59.98,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00127,35.00718898,74.58905736,79.69,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00128,35.00818822,74.57130681,71.94,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00129,35.03326017,74.64284011,67.27,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00130,35.02151992,74.55165716,74.81,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00131,35.06650357,74.44605283,57.83,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00132,35.05536548,74.4954593,48.59,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00133,35.05745938,74.49389571,47.34,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00134,35.0983914,74.70881434,73.25,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00135,35.0515191,74.68531016,57.84,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00136,35.05200085,74.68580173,57.04,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00137,35.04426149,74.63480063,65.42,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00138,35.16665434,74.56548827,69.91,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00139,35.14988652,74.51519235,59.02,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00140,35.19271716,74.61605261,78.28,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00141,35.33011429,74.78566511,79.94,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00142,35.3327117,74.77453727,59.88,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00143,35.33907494,74.77247274,58.94,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00144,35.32318645,74.7534562,67.73,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00145,35.33208302,74.75961412,61.2,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00146,35.3995404,74.67515644,79.98,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00147,35.41212792,74.66847493,71.45,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00148,34.83389651,74.0523068,56.09,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00149,34.86540498,74.04752147,39.15,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00150,34.8657307,74.05034249,71.77,High,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00151,34.83634007,74.09311957,58.01,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00152,34.83716701,74.09156809,39.17,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00153,34.86356357,74.11346041,45.84,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
PKGL-00154,34.86017989,74.09757709,60.04,Medium,,Relative monitoring-priority index; not a probability or event forecast,This research prototype provides environmental risk indicators and is not an official emergency-warning system. High-risk results require expert verification.
